date,home,away,pred
20201227,LAC,DAL,0.27089519
20201227,NOP,SAS,0.35500163
20201227,WAS,ORL,0.49635905
20201227,CHO,BRK,0.58278484
20201227,CLE,PHI,0.58473796
20201227,NYK,MIL,0.77565593
20201227,IND,BOS,0.52089519
20201227,CHI,GSW,0.2233488
20201227,SAC,PHO,0.4455778
20201227,LAL,MIN,0.13442058
20201228,BRK,MEM,0.43312663
20201228,ATL,DET,0.49147624
20201228,OKC,UTA,0.46504802
20201228,DEN,HOU,0.45070476
20201228,LAL,POR,0.13310832
20201229,CLE,NYK,0.40514201
20201229,DET,GSW,0.27620525
20201229,IND,BOS,0.52809734
20201229,WAS,CHI,0.49806804
20201229,PHI,TOR,0.55443401
20201229,MIA,MIL,0.54079265
20201229,OKC,ORL,0.3158781
20201229,PHO,NOP,0.38417644
20201229,SAC,DEN,0.44771403
20201229,LAC,MIN,0.15553874
20201230,MIA,MIL,0.57204265
20201230,BRK,ATL,0.23097819
20201230,BOS,MEM,0.3214323
20201230,DAL,CHO,0.19948405
20201230,SAS,LAL,0.61299724
20201230,LAC,POR,0.18752116
20201231,IND,CLE,0.24855632
20201231,WAS,CHI,0.49684734
20201231,ORL,PHI,0.46956462
20201231,HOU,SAC,0.32631511
20201231,TOR,NYK,0.10902995
20201231,OKC,NOP,0.37990398
20201231,UTA,PHO,0.3304655
20210101,CHO,MEM,0.58571452
20210101,DAL,MIA,0.41396159
20210101,DET,BOS,0.63014812
20210101,BRK,ATL,0.23488444
20210101,MIL,CHI,0.13698405
20210101,MIN,WAS,0.37990398
20210101,SAS,LAL,0.612158
20210101,DEN,PHO,0.44856853
20210101,UTA,LAC,0.45485515
20210101,GSW,POR,0.5381071
20210102,HOU,SAC,0.32741374
20210102,IND,NYK,0.26271648
20210102,ORL,OKC,0.46208781
20210102,PHI,CHO,0.21950359
20210102,ATL,CLE,0.36916179
20210102,NOP,TOR,0.53615398
20210103,DET,BOS,0.62787659
20210103,BRK,WAS,0.2905892
20210103,MEM,LAL,0.52746499
20210103,MIN,DEN,0.52493063
20210103,SAS,UTA,0.54961121
20210103,CHI,DAL,0.50095093
20210103,PHO,LAC,0.48989034
20210103,GSW,POR,0.54680461
20210104,ORL,CLE,0.28955872
20210104,PHI,CHO,0.23288351
20210104,ATL,NYK,0.39856344
20210104,MIA,OKC,0.35739523
20210104,TOR,BOS,0.38372681
20210104,HOU,DAL,0.39532146
20210104,MIL,DET,0.07956116
20210104,NOP,IND,0.37362244
20210104,GSW,SAC,0.5762673
20210105,BRK,UTA,0.52751648
20210105,MEM,LAL,0.53173554
20210105,DEN,MIN,0.26267146
20210105,LAC,SAS,0.21430237
20210105,POR,CHI,0.4267861
20210106,IND,HOU,0.4313171
20210106,ORL,CLE,0.27351761
20210106,PHI,WAS,0.26280509
20210106,ATL,CHO,0.37237764
20210106,MIA,BOS,0.46662738
20210106,NYK,UTA,0.62860944
20210106,MIL,DET,0.075322
20210106,NOP,OKC,0.37107578
20210106,PHO,TOR,0.50646058
20210106,GSW,LAC,0.72216504
20210106,SAC,CHI,0.39632147
20210107,BRK,PHI,0.41821595
20210107,MEM,CLE,0.19248065
20210107,DEN,DAL,0.43225426
20210107,LAL,SAS,0.20179525
20210107,POR,MIN,0.34224742
20210108,DET,PHO,0.54353961
20210108,BOS,WAS,0.15512377
20210108,NOP,CHO,0.20042994
20210108,NYK,OKC,0.53228778
20210108,HOU,ORL,0.33488824
20210108,MEM,BRK,0.36614028
20210108,MIL,UTA,0.26546729
20210108,GSW,LAC,0.73455314
20210108,LAL,CHI,0.20142026
20210108,SAC,TOR,0.58816733
20210109,PHI,DEN,0.39499187
20210109,CHO,ATL,0.42256385
20210109,IND,PHO,0.44108198
20210109,WAS,MIA,0.58402808
20210109,MIL,CLE,0.02535648
20210109,MIN,SAS,0.50343281
20210109,DAL,ORL,0.30557381
20210109,SAC,POR,0.37960538
20210110,DET,UTA,0.58935886
20210110,LAC,CHI,0.21267739
20210110,BRK,OKC,0.40388571
20210110,NYK,DEN,0.54446311
20210110,HOU,LAL,0.49365669
20210110,MIN,SAS,0.49868181
20210110,GSW,TOR,0.74470109
20210111,CHO,NYK,0.39242288
20210111,CLE,MEM,0.58595625
20210111,ORL,MIL,0.67109023
20210111,WAS,PHO,0.56943071
20210111,ATL,PHI,0.53648694
20210111,POR,TOR,0.62257639
20210111,SAC,IND,0.45766287
20210112,PHI,MIA,0.46111778
20210112,BRK,DEN,0.43079311
20210112,CLE,UTA,0.63922929
20210112,HOU,LAL,0.52389009
20210112,OKC,SAS,0.36495133
20210112,GSW,IND,0.57614968
20210113,CHO,DAL,0.58097771
20210113,DET,MIL,0.72301295
20210113,NYK,BRK,0.55290021
20210113,MIN,MEM,0.58407739
20210113,OKC,LAL,0.57761398
20210113,LAC,NOP,0.32261616
20210113,SAC,POR,0.38895956
