home,away,date,plac_H,plac_A
MEM,ATL,12/26/2020,1.71,2.42
DET,CLE,12/26/2020,1.76,2.32
CHO,OKC,12/26/2020,1.72,2.4
WAS,ORL,12/26/2020,1.75,2.34
NYK,PHI,12/26/2020,4.29,1.29
CHI,IND,12/26/2020,2.85,1.52
SAS,TOR,12/26/2020,2.36,1.74
UTA,MIN,12/26/2020,1.28,4.42
POR,HOU,12/26/2020,1.32,4.02
SAC,PHO,12/26/2020,2.59,1.63
LAC,DAL,12/27/2020,1.56,2.45
NOP,SAS,12/27/2020,1.54,2.88
CHO,BRK,12/27/2020,4.71,1.24
WAS,ORL,12/27/2020,2.25,1.81
CLE,PHI,12/27/2020,3.58,1.37
NYK,MIL,12/27/2020,5.79,1.18
IND,BOS,12/27/2020,2.28,1.79
SAC,PHO,12/27/2020,2.56,1.65
LAL,MIN,12/27/2020,1.27,4.44
CHI,GSW,12/27/2020,2.44,1.54
ATL,DET,12/28/2020,1.29,4.29
BRK,MEM,12/28/2020,1.43,3.3
OKC,UTA,12/28/2020,4.29,1.29
DEN,HOU,12/28/2020,1.41,3.43
LAL,POR,12/28/2020,1.63,2.59
CLE,NYK,12/29/2020,1.67,2.45
DET,GSW,12/29/2020,2.4,1.6
IND,BOS,12/29/2020,2.18,1.77
WAS,CHI,12/29/2020,1.4,3.3
PHI,TOR,12/29/2020,1.8,2.15
MIA,MIL,12/29/2020,3.34,1.36
OKC,ORL,12/29/2020,2.95,1.46
PHO,NOP,12/29/2020,1.85,2.15
SAC,DEN,12/29/2020,2.38,1.76
LAC,MIN,12/29/2020,1.15,5.1
BOS,MEM,12/30/2020,1.4,3.5
MIA,MIL,12/30/2020,3.25,1.44
BRK,ATL,12/30/2020,1.4,3.5
DAL,CHO,12/30/2020,1.31,4.12
SAS,LAL,12/30/2020,2.8,1.56
LAC,POR,12/30/2020,1.7,2.45
IND,CLE,12/31/2020,1.38,3.7
WAS,CHI,12/31/2020,1.52,3.0
ORL,PHI,12/31/2020,2.47,1.69
HOU,SAC,12/31/2020,1.5,2.97
TOR,NYK,12/31/2020,1.27,4.44
OKC,NOP,12/31/2020,3.01,1.49
UTA,PHO,12/31/2020,1.66,2.53
CHO,MEM,01/01/2021,1.47,2.5
DAL,MIA,01/01/2021,1.92,2.05
DET,BOS,01/01/2021,3.9,1.21
BRK,ATL,01/01/2021,1.4,3.1
MIL,CHI,01/01/2021,1.15,4.5
MIN,WAS,01/01/2021,1.92,2.06
SAS,LAL,01/01/2021,3.5,1.3
DEN,PHO,01/01/2021,1.56,2.4
UTA,LAC,01/01/2021,2.35,1.57
GSW,POR,01/01/2021,2.4,1.55
IND,NYK,01/02/2021,1.26,4.57
ORL,OKC,01/02/2021,1.39,3.56
PHI,CHO,01/02/2021,1.24,4.71
NOP,TOR,01/02/2021,2.14,1.89
ATL,CLE,01/02/2021,1.41,3.43
HOU,SAC,01/02/2021,1.54,2.88
DET,BOS,01/03/2021,3.74,1.35
BRK,WAS,01/03/2021,1.33,3.92
MEM,LAL,01/03/2021,4.44,1.27
SAS,UTA,01/03/2021,2.77,1.57
MIN,DEN,01/03/2021,4.29,1.29
CHI,DAL,01/03/2021,2.95,1.52
PHO,LAC,01/03/2021,2.56,1.65
GSW,POR,01/03/2021,2.95,1.52
ORL,CLE,01/04/2021,1.53,2.91
PHI,CHO,01/04/2021,1.24,4.71
TOR,BOS,01/04/2021,1.7,2.45
MIA,OKC,01/04/2021,1.31,4.12
ATL,NYK,01/04/2021,1.44,3.25
HOU,DAL,01/04/2021,2.0,2.01
MIL,DET,01/04/2021,1.16,6.22
NOP,IND,01/04/2021,1.86,2.19
GSW,SAC,01/04/2021,2.38,1.73
BRK,UTA,01/05/2021,2.42,1.71
MEM,LAL,01/05/2021,4.44,1.27
DEN,MIN,01/05/2021,1.2,5.3
LAC,SAS,01/05/2021,1.31,4.12
POR,CHI,01/05/2021,1.23,4.87
PHI,WAS,01/06/2021,1.45,3.19
ORL,CLE,01/06/2021,1.49,3.01
IND,HOU,01/06/2021,1.84,2.22
NYK,UTA,01/06/2021,3.58,1.37
MIA,BOS,01/06/2021,1.72,2.4
ATL,CHO,01/06/2021,1.46,3.14
NOP,OKC,01/06/2021,1.31,4.12
MIL,DET,01/06/2021,1.19,5.53
PHO,TOR,01/06/2021,1.68,2.49
GSW,LAC,01/06/2021,2.22,1.84
SAC,CHI,01/06/2021,1.39,3.56
BRK,PHI,01/07/2021,2.38,1.73
MEM,CLE,01/07/2021,1.6,2.67
LAL,SAS,01/07/2021,1.35,3.74
DEN,DAL,01/07/2021,1.66,2.53
POR,MIN,01/07/2021,1.22,4.92
DET,PHO,01/08/2021,3.25,1.44
BOS,WAS,01/08/2021,1.52,2.95
NYK,OKC,01/08/2021,1.69,2.47
NOP,CHO,01/08/2021,1.45,3.19
HOU,ORL,01/08/2021,1.46,3.14
MIL,UTA,01/08/2021,1.46,3.14
MEM,BRK,01/08/2021,2.67,1.6
SAC,TOR,01/08/2021,2.84,1.55
LAL,CHI,01/08/2021,1.3,4.23
GSW,LAC,01/08/2021,2.8,1.56
IND,PHO,01/09/2021,1.69,2.47
WAS,MIA,01/09/2021,3.01,1.49
CHO,ATL,01/09/2021,2.71,1.59
MIN,SAS,01/09/2021,3.37,1.42
MIL,CLE,01/09/2021,1.14,6.93
DAL,ORL,01/09/2021,1.4,3.5
SAC,POR,01/09/2021,2.84,1.55
PHI,DEN,01/09/2021,3.19,1.45
DET,UTA,01/10/2021,3.58,1.37
LAC,CHI,01/10/2021,1.21,5.11
BRK,OKC,01/10/2021,1.24,4.71
NYK,DEN,01/10/2021,3.19,1.45
HOU,LAL,01/10/2021,2.56,1.65
MIN,SAS,01/10/2021,2.88,1.54
GSW,TOR,01/10/2021,2.25,1.81
ORL,MIL,01/11/2021,3.66,1.36
CLE,MEM,01/11/2021,1.86,2.19
WAS,PHO,01/11/2021,3.01,1.49
CHO,NYK,01/11/2021,1.57,2.77
ATL,PHI,01/11/2021,1.42,3.37
SAC,IND,01/11/2021,2.88,1.54
POR,TOR,01/11/2021,1.55,2.84
PHI,MIA,01/12/2021,1.36,3.66
CLE,UTA,01/12/2021,5.53,1.19
BRK,DEN,01/12/2021,1.89,2.14
OKC,SAS,01/12/2021,2.38,1.73
HOU,LAL,01/12/2021,2.77,1.57
GSW,IND,01/12/2021,1.7,2.45
CHO,DAL,01/13/2021,2.64,1.61
DET,MIL,01/13/2021,4.6,1.13
NYK,BRK,01/13/2021,2.97,1.5
OKC,LAL,01/13/2021,4.44,1.27
MIN,MEM,01/13/2021,1.72,2.4
SAC,POR,01/13/2021,2.74,1.58
LAC,NOP,01/13/2021,1.43,3.3
PHI,MIA,01/14/2021,1.22,4.92
TOR,CHO,01/14/2021,1.27,4.44
SAS,HOU,01/14/2021,1.41,3.43
DEN,GSW,01/14/2021,1.55,2.84
POR,IND,01/14/2021,1.69,2.47
CLE,NYK,01/15/2021,2.42,1.71
MIL,DAL,01/15/2021,1.46,3.14
BOS,ORL,01/15/2021,1.65,2.56
MIN,MEM,01/15/2021,1.7,2.45
OKC,CHI,01/15/2021,1.95,2.08
UTA,ATL,01/15/2021,1.47,3.1
LAL,NOP,01/15/2021,1.29,4.29
SAC,LAC,01/15/2021,3.1,1.47
TOR,CHO,01/16/2021,1.4,3.5
