date,Start (ET),away,PTS,home,PTS,,,Attend.,Notes
Sun Feb 7 2021,1:00p,Washington Wizards,,Charlotte Hornets,,,,,
Sun Feb 7 2021,1:00p,Utah Jazz,,Indiana Pacers,,,,,
Sun Feb 7 2021,1:00p,Miami Heat,,New York Knicks,,,,,
Sun Feb 7 2021,2:00p,Boston Celtics,,Phoenix Suns,,,,,
Sun Feb 7 2021,3:00p,Sacramento Kings,,Los Angeles Clippers,,,,,
Mon Feb 8 2021,7:00p,Houston Rockets,,Charlotte Hornets,,,,,
Mon Feb 8 2021,8:00p,Washington Wizards,,Chicago Bulls,,,,,
Mon Feb 8 2021,8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,
Mon Feb 8 2021,8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
Mon Feb 8 2021,8:30p,Golden State Warriors,,San Antonio Spurs,,,,,
Mon Feb 8 2021,9:00p,Cleveland Cavaliers,,Phoenix Suns,,,,,
Mon Feb 8 2021,9:30p,Milwaukee Bucks,,Denver Nuggets,,,,,
Mon Feb 8 2021,10:00p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,
Tue Feb 9 2021,7:00p,Brooklyn Nets,,Detroit Pistons,,,,,
Tue Feb 9 2021,7:30p,New York Knicks,,Miami Heat,,,,,
Tue Feb 9 2021,7:30p,Houston Rockets,,New Orleans Pelicans,,,,,
Tue Feb 9 2021,8:30p,Golden State Warriors,,San Antonio Spurs,,,,,
Tue Feb 9 2021,10:00p,Orlando Magic,,Portland Trail Blazers,,,,,
Tue Feb 9 2021,10:00p,Philadelphia 76ers,,Sacramento Kings,,,,,
Tue Feb 9 2021,10:00p,Boston Celtics,,Utah Jazz,,,,,
Wed Feb 10 2021,7:00p,Toronto Raptors,,Washington Wizards,,,,,
Wed Feb 10 2021,7:30p,Atlanta Hawks,,Dallas Mavericks,,,,,
Wed Feb 10 2021,8:00p,Indiana Pacers,,Brooklyn Nets,,,,,
Wed Feb 10 2021,8:00p,Charlotte Hornets,,Memphis Grizzlies,,,,,
Wed Feb 10 2021,8:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,
Wed Feb 10 2021,9:00p,New Orleans Pelicans,,Chicago Bulls,,,,,
Wed Feb 10 2021,9:00p,Cleveland Cavaliers,,Denver Nuggets,,,,,
Wed Feb 10 2021,10:00p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,
Wed Feb 10 2021,10:00p,Milwaukee Bucks,,Phoenix Suns,,,,,
Thu Feb 11 2021,7:30p,Toronto Raptors,,Boston Celtics,,,,,
Thu Feb 11 2021,7:30p,Miami Heat,,Houston Rockets,,,,,
